"key","en","de"
"form_builder.area.form","Form","Formular"
"form_builder.area.form_type","Form Type","Formular Typ"
"form_builder.area.form_template","Form Template","Formular Template"
"form_builder.area.send_copy_to_user","Send Copy to User","Kopie an User versenden"
"form_builder.area.copy_mail_template","Copy Mail Template","Mail Vorlage für Kopie"
"form_builder.area.mail_template","Mail Template","Mail Vorlage"
"form_builder.area.form_preset","Form Preset","Formular Vorlage"
"form_builder.area.form_preset_info","Form Preset Info","Formular Vorlage Informationen"
"form_builder.area.no_form_preset","No Form Preset","Ohne Vorlage"

"form_builder.email.form_renders_automatically","Form data will be rendered automatically.","Formular-Inhalt wird automatisch in dieses E-Mail eingefügt."
"form_builder.email.custom_style_activated_use_placeholder","Custom style mode has been activated. Please use placeholder like %s to display form value fields.","Benutzerdefiniertes Formular-Layout wurde aktiviert. Bitte benutzen Sie Platzhalter (zb. %s), um Formular-Elemente im E-Mail anzuzeigen."

"form_builder.email.form_will_placed_here","Your form content will be placed here.","Formular-Inhalt wird hier angezeigt.",
"form_builder.email.placeholder_list_available","Depending on your selected form, some placeholder like %s are available.","Je nach ausgewähltem Formular stehen Ihnen Platzhalter wie zb. %s zur Verfügung."

"form_builder_type_group.text_fields","Text Fields","Textfelder"
"form_builder_type_group.choice_fields","Choice Fields","Auswahlfelder"
"form_builder_type_group.datetime_fields","DateTime Fields","Datumsfelder"
"form_builder_type_group.other_fields","Other Fields","Andere Felder"
"form_builder_type_group.field_groups","Field Groups","Feldgruppen"
"form_builder_type_group.date_time_fields","Date and Time Fields","Datum und Uhrzeit Felder"
"form_builder_type_group.hidden_fields","Hidden Fields","Versteckte Felder"
"form_builder_type_group.buttons","Buttons","Schaltflächen"

"form_builder_validation_constraint.not_blank","Not Blank","NotBlank-Einschränkung"
"form_builder_validation_constraint.email","Email-Validation","Email-Validierung"
"form_builder_validation_constraint.length","Length","Länge"
"form_builder_validation_constraint.url","Url","Url"
"form_builder_validation_constraint.regex","Regex","Regex"
"form_builder_validation_constraint.ip","IP-Address","IP-Adresse"
"form_builder_validation_constraint.range","Range","Bereich"
"form_builder_validation_constraint.card_scheme","Card Scheme","Karten-Schema"
"form_builder_validation_constraint.bic","Bic","Bic"
"form_builder_validation_constraint.iban","Iban","Iban"
"form_builder_validation_constraint.date","Date","Datum"
"form_builder_validation_constraint.date_time","Date & Time","Datum & Uhrzeit"
"form_builder_validation_constraint.time","Time","Uhrzeit"

"form_builder_type.text_type","Text Type","Text Element"
